mobai_term,flavorgraph_node,node_id,strategy,in_embeddings
mango,fresh_mango,2528,direct,True
vanilla,vanilla,6631,direct,True
caramel,caramel,977,direct,True
coconut,coconut,1430,direct,True
chocolate,chocolate,1266,direct,True
oat,oat,4444,direct,True
coffee,coffee,1458,direct,True
banana,banana,302,direct,True
matcha,matcha_green_tea_powder,4107,direct,True
peach,canned_peach,928,direct,True
honey,honey,3290,direct,True
strawberry,strawberry,6131,direct,True
black_tea,black_tea,510,direct,True
milk,milk,4204,direct,True
yogurt,yogurt,7087,direct,True
jasmine,jasmine_tea,3513,direct,True
milk_tea,black_tea+milk,510+4204,compound_proxy,True
jasmine_compound_BA,Benzyl_Acetate,7475,compound_proxy,True
jasmine_compound_lin,Linalool,7243,compound_proxy,True
jasmine_compound_lactone,Jasmine_lactone,8464,compound_proxy,True
white_peach,white_peach,6892,variant_c,True
lychee,lychee,4007,variant_c,True
passionfruit,passion_fruit,4630,variant_c,True
oolong,,,missing,False
osmanthus,,,missing,False
